culture,G-diketone,Vanillic acid,Vanillin,Intermediate,timepoint,hours,klett
sacB-G-diketone,3.56,0.164,0.142,"114,826",6/12/20 10:30,0,0
sacB-G-diketone,3.537,0.141,0.139,"110,305",6/12/20 10:30,0,0
sacB-G-diketone,3.474,0.146,0.134,"109,885",6/12/20 10:30,0,0
sacB-Glucose,0,0,0,0,6/12/20 10:30,0,0
sacB-Glucose,0,0,0,0,6/12/20 10:30,0,0
sacB-Glucose,0,0,0,0,6/12/20 10:30,0,0
sacB-G-diketone,3.47,0.269,0.159,"7,418",6/13/20 9:00,22.5,0
sacB-G-diketone,3.513,0.259,0.152,"6,914",6/13/20 9:00,22.5,0
sacB-G-diketone,3.482,0.267,0.158,"6,485",6/13/20 9:00,22.5,0
sacB-Glucose,0,0,0,0,6/13/20 9:00,22.5,164
sacB-Glucose,0,0,0,0,6/13/20 9:00,22.5,160
sacB-Glucose,0,0,0,0,6/13/20 9:00,22.5,160
sacB-G-diketone,2.516,0,0,"171,650",6/14/20 9:30,47,43
sacB-G-diketone,1.694,0,0,"276,717",6/14/20 9:30,47,57
sacB-G-diketone,2.694,0,0,"154,306",6/14/20 9:30,47,28
sacB-Glucose,0,0,0,"72,626",6/14/20 9:30,47,170
sacB-Glucose,0,0,0,0,6/14/20 9:30,47,160
sacB-Glucose,0,0,0,0,6/14/20 9:30,47,153
sacB-G-diketone,0,0,0,"171,091",6/15/20 9:00,70.5,101
sacB-G-diketone,0,0,0,"165,209",6/15/20 9:00,70.5,99
sacB-G-diketone,0,0,0,"180,295",6/15/20 9:00,70.5,104
sacB-G-diketone,0,0,0,"128,272",6/16/20 9:30,95,97
sacB-G-diketone,0,0,0,"128,591",6/16/20 9:30,95,98
sacB-G-diketone,0,0,0,"135,825",6/16/20 9:30,95,104
sacB-G-diketone,0,0,0,0,6/17/20 2:15,123.75,96
sacB-G-diketone,0,0,0,0,6/17/20 2:15,123.75,95
sacB-G-diketone,0,0,0,0,6/17/20 2:15,123.75,102