culture,substrate,hours,klett,G-diketone,Vanillin,GP-1,threo-GD
A,Glucose + G-diketone,0,28,1.69,0.098,0.007,0.003
B,Glucose + G-diketone,0,29,1.669,0.075,0.007,0.003
C,Glucose + G-diketone,0,31,1.578,0.093,0.007,0.003
A,Glucose + G-diketone,1.5,41,1.799,0,0.032,0.008
B,Glucose + G-diketone,1.5,41,1.774,0,0.034,0.007
C,Glucose + G-diketone,1.5,46,1.707,0,0.035,0.008
A,Glucose + G-diketone,5,44,1.704,0,0.069,0.011
B,Glucose + G-diketone,5,44,1.687,0,0.066,0.011
C,Glucose + G-diketone,5,50,1.641,0,0.081,0.012
A,Glucose + G-diketone,8,46,1.552,0,0.18,0.015
B,Glucose + G-diketone,8,46,1.595,0,0.157,0.014
C,Glucose + G-diketone,8,52,1.391,0,0.239,0.017
A,Glucose + G-diketone,23.5,55,0.781,0,0.693,0.028
B,Glucose + G-diketone,23.5,52,0.998,0,0.526,0.027
C,Glucose + G-diketone,23.5,65,0.631,0,0.875,0.027
A,Glucose + G-diketone,46.5,84,0.24,0,1.1,0.031
B,Glucose + G-diketone,46.5,76,0.204,0,1.14,0.035
C,Glucose + G-diketone,46.5,85,0.347,0,1.109,0.028
A,Glucose + G-diketone,75.5,82,0.001,0,0.402,0.104
B,Glucose + G-diketone,75.5,85,0,0,0.429,0.115
C,Glucose + G-diketone,75.5,80,0.001,0,0.408,0.08
A,Glucose + G-diketone,98,102,0,0,0.256,0.056
B,Glucose + G-diketone,98,103,0,0,0.267,0.06
C,Glucose + G-diketone,98,107,0,0,0.222,0.051
A,Glucose + G-diketone,122,111,0,0,0,0.02
B,Glucose + G-diketone,122,112,0,0,0,0.021
C,Glucose + G-diketone,122,116,0,0,0,0.019
A,Glucose + G-diketone,148.5,124,0,0,0,0.018
B,Glucose + G-diketone,148.5,124,0,0,0,0.019
C,Glucose + G-diketone,148.5,127,0,0,0,0.018